State/UTs,District,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total,Percentage to Geographical Area,Change*,Scrub
West Bengal,Nadia,3927,2,74,53,129,3.28,0,0
West Bengal,North 24 Parganas,4094,20,18,51,89,2.17,0,0
West Bengal,Purulia,6259,43,373,381,797,12.73,-4,13
West Bengal,South 24 Parganas,9960,1014,889,501,2404,24.14,12,0
West Bengal,Uttar Dina|pur,3140,0,2,174,176,5.61,0,0
West Bengal,Total,88752,2987,4644,5363,12994,14.64,24,29
Andaman & Nicobar Islands,Andaman,6408,2938,1984,391,5313,82.91,5,1
Andaman & Nicobar Islands,Nicobar,1841,824,421,104,1349,73.28,-6,52
Andaman & Nicobar Islands,Total,8249,3762,2405,495,6662,80.76,-1,53
Chandigarh,Chandigarh,114,1,10,6,17,14.91,0,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,491,0,114,97,211,42.97,-5,1
Daman & Diu,Daman,72,0,1,3,3,4.81,0,0
Daman & Diu,Diu,40,0,0,2,2,5.48,0,3
Daman & Diu,Total,112,0,1,5,6,5.04,0,3
Lakshadweep,Lakshadweep,32,0,17,10,26,82.75,1,0
Puducherry,Karaikal,161,0,1,4,5,3.13,0,0
Puducherry,Mahe,9,0,1,2,3,32.22,0,0
Puducherry,Puducherry,293,0,11,22,33,11.24,2,0
Puducherry,Yanam,17,0,0,3,3,17.65,0,0
Puducherry,Total,480,0,13,31,44,9.14,2,0
