State/UTs,District,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total,Percentage to Geographical Area,Change*,Scrub
Uttar Pradesh,Etawa,2311,0,44,142,186,8.05,0,42
Uttar Pradesh,Faizabad,2174,0,5,50,55,2.53,0,0
Uttar Pradesh,Farrukhabad,2181,0,13,33,46,2.11,0,0
Uttar Pradesh,Fatehpur,4152,0,7,38,45,1.08,1,14
Uttar Pradesh,Firozabad,2361,0,4,43,47,1.99,3,26
Uttar Pradesh,Gautam Buddh Nagar,1442,0,12,23,35,2.43,0,0
Uttar Pradesh,Ghaziabad,2590,0,18,31,49,1.89,1,0
Uttar Pradesh,Ghazipur,3377,0,1,30,31,0.92,0,0
Uttar Pradesh,Gonda,4003,0,60,47,107,2.67,0,0
Uttar Pradesh,Gorakhpur,3321,0,40,24,64,1.93,0,0
Uttar Pradesh,Hamirpur,4282,0,66,108,174,4.06,-2,39
Uttar Pradesh,Hardoi,5986,0,7,114,121,2.02,1,0
Uttar Pradesh,Hathras,1840,0,1,22,23,1.25,-2,0
Uttar Pradesh,Jyotiba Phule Nagar,2249,0,24,61,85,3.78,2,0
Uttar Pradesh,Jalaun,4565,0,65,179,244,5.35,1,48
Uttar Pradesh,Jaunpur,4038,0,11,40,51,1.26,-1,0
Uttar Pradesh,Jhansi,5024,0,33,167,200,3.98,0,121
Uttar Pradesh,Kannauj,2093,0,0,28,28,1.34,0,0
Uttar Pradesh,Kanpur Nagar & Dehat,6176,0,12,97,109,1.76,-1,37
Uttar Pradesh,Kaushambi,2124,0,7,20,27,1.27,-1,0
Uttar Pradesh,Kheri,7680,409,475,436,1320,17.19,-1,1
Uttar Pradesh,Kushinagar,2906,0,3,32,35,1.20,0,0
Uttar Pradesh,Lalitpur,5039,0,128,442,570,11.31,0,41
Uttar Pradesh,Lucknow,2528,0,116,185,301,11.91,-1,0
Uttar Pradesh,Maharajganj,2952,239,113,109,461,15.62,0,2
Uttar Pradesh,Mahoba,2884,0,22,73,95,3.29,1,96
Uttar Pradesh,Mainpuri,2760,0,1,13,14,0.51,-1,0
Uttar Pradesh,Mathura,3340,0,5,55,60,1.80,-2,6
Uttar Pradesh,Mau,1713,0,0,7,7,0.41,0,0
Uttar Pradesh,Meerut,2590,0,34,32,66,2.55,1,0
Uttar Pradesh,Mirzapur,4521,0,323,543,866,19.16,-1,44
Uttar Pradesh,Moradabad,3718,0,5,21,26,0.70,0,0
Uttar Pradesh,Muzaffarnagar,4008,0,14,27,41,1.02,0,0
Uttar Pradesh,Oraiya,2015,0,8,61,69,3.42,0,11
Uttar Pradesh,Pilibhit,3499,340,158,200,698,19.95,0,0
Uttar Pradesh,Pratapgarh,3717,0,25,68,93,2.50,-1,2
Uttar Pradesh,Rai Bareli,4609,0,5,93,98,2.13,1,1
Uttar Pradesh,Rampur,2367,4,26,47,77,3.25,2,0
